experiment_variant,scenario_id,run_index,run_id,success,response_type,no_match,returned,eligible,claims,dropped_claims,response_turns,session_count,legacy_rule_reparse_turns,candidate_state_version,termination_reason,total_latency_ms,run_dir
one_shot,SC-F-02,0,run-612f2088b21cda70,True,recommendation,False,5,44,23,0,1,1,0,1,recommendation,22.113,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-F-02\0
one_shot,SC-F-03,0,run-85cbabcaed591d3e,True,recommendation,False,5,43,22,0,1,1,0,1,recommendation,18.27,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-F-03\0
one_shot,SC-F-04,0,run-4292659382907599,True,recommendation,False,5,44,20,0,1,1,0,1,recommendation,26.008,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-F-04\0
one_shot,SC-G-01,0,run-53bdb8085e543aee,True,clarification,,0,0,0,0,1,1,0,1,continuation_disabled,1.29,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-G-01\0
one_shot,SC-G-02,0,run-02202af138fa3495,True,clarification,,0,0,0,0,1,1,0,1,continuation_disabled,0.99,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-G-02\0
one_shot,SC-H-01,0,run-8ae17181d03fbff5,True,no_match,True,0,0,4,0,1,1,0,1,no_match,12.6,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-H-01\0
one_shot,SC-H-02,0,run-fec06fd051e965bd,True,no_match,True,0,0,4,0,1,1,0,1,no_match,10.796,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-H-02\0
one_shot,SC-H-03,0,run-94dc0505d98b1125,True,no_match,True,0,0,4,0,1,1,0,1,no_match,10.568,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-H-03\0
one_shot,SC-D-06,0,run-0e3714bd21507b11,True,clarification,,0,0,0,0,2,1,0,1,continuation_disabled,1.152,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-D-06\0
one_shot,SC-D-07,0,run-44ae129b322bbf42,True,clarification,,0,0,0,0,2,1,0,1,continuation_disabled,1.025,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-D-07\0
one_shot,SC-D-08,0,run-b01e2609335700d2,True,clarification,,0,0,0,0,2,1,0,1,continuation_disabled,1.327,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-D-08\0
one_shot,SC-D-09,0,run-23b670cbd3af1a4b,True,clarification,,0,0,0,0,2,1,0,1,continuation_disabled,1.683,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-D-09\0
one_shot,SC-D-10,0,run-50f699ecf3bb727e,True,clarification,,0,0,0,0,2,1,0,1,continuation_disabled,1.099,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-D-10\0
one_shot,SC-D-11,0,run-41a0b61c68697cd3,True,clarification,,0,0,0,0,3,1,0,1,continuation_disabled,1.09,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-D-11\0
one_shot,SC-D-12,0,run-9fbfd2ce5983c033,True,clarification,,0,0,0,0,3,1,0,1,continuation_disabled,0.951,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-D-12\0
no_memory,SC-A-01,0,run-e4a4806cd80056a6,True,recommendation,False,5,28,28,0,1,1,0,1,recommendation,17.963,artifacts\main_deterministic\runs\exp-40a9cd647575\no_memory\SC-A-01\0
no_memory,SC-A-02,0,run-4b6183de42fffe52,True,recommendation,False,5,25,23,0,1,1,0,1,recommendation,18.743,artifacts\main_deterministic\runs\exp-40a9cd647575\no_memory\SC-A-02\0
no_memory,SC-A-03,0,run-c72a51f33480a443,True,recommendation,False,5,28,28,0,1,1,0,1,recommendation,36.766,artifacts\main_deterministic\runs\exp-40a9cd647575\no_memory\SC-A-03\0
no_memory,SC-A-04,0,run-b0c15ff5128e34a7,True,recommendation,False,5,24,24,0,1,1,0,1,recommendation,19.434,artifacts\main_deterministic\runs\exp-40a9cd647575\no_memory\SC-A-04\0
no_memory,SC-A-05,0,run-9332cdf03b96bf12,True,recommendation,False,5,27,23,0,1,1,0,1,recommendation,18.931,artifacts\main_deterministic\runs\exp-40a9cd647575\no_memory\SC-A-05\0
no_memory,SC-A-06,0,run-da01527933e27f3c,True,recommendation,False,5,28,27,0,1,1,0,1,recommendation,15.726,artifacts\main_deterministic\runs\exp-40a9cd647575\no_memory\SC-A-06\0
no_memory,SC-B-01,0,run-546a7e3ed4b2749b,True,recommendation,False,5,42,23,0,2,1,0,1,recommendation,15.951,artifacts\main_deterministic\runs\exp-40a9cd647575\no_memory\SC-B-01\0
no_memory,SC-B-02,0,run-0c7f7d168f1509e0,True,recommendation,False,5,43,16,0,2,1,0,1,recommendation,16.824,artifacts\main_deterministic\runs\exp-40a9cd647575\no_memory\SC-B-02\0
no_memory,SC-B-03,0,run-95b1d24ba8f7a546,True,recommendation,False,5,43,21,0,2,1,0,1,recommendation,18.735,artifacts\main_deterministic\runs\exp-40a9cd647575\no_memory\SC-B-03\0
