scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,grounded_claim_count
SC-D-05,profile_only,preference_change,medium,high,high,0.5531464700081437,0.4000000000000001,1.2,0.4000000000000001,0.6,0.0,0.0,1.0,1.0,1.0,1.0,2.0,23.869,0.0,0.75,14.0
SC-D-06,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,38.160000000000004,1.0,1.0,28.0
SC-D-06,no_context,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,22.351333333333333,1.0,1.0,28.0
SC-D-06,no_memory,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,0.7793333333333333,0.0,0.0,0.0
SC-D-06,one_shot,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,0.8543333333333333,0.0,0.0,0.0
SC-D-06,profile_only,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,0.5906666666666667,0.0,0.0,0.0
SC-D-07,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,19.495666666666665,1.0,1.0,22.0
SC-D-07,no_context,preference_change,medium,high,medium,0.7860137352654725,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.20000000000000004,1.0,1.0,1.0,1.0,2.0,23.667666666666666,0.0,0.75,21.0
SC-D-07,no_memory,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,0.7996666666666666,0.0,0.0,0.0
SC-D-07,one_shot,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,0.7696666666666667,0.0,0.0,0.0
SC-D-07,profile_only,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,0.5653333333333334,0.0,0.0,0.0
SC-D-08,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,18.624666666666666,1.0,1.0,28.0
SC-D-08,no_context,preference_change,medium,high,medium,0.8687949224876581,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.20000000000000004,1.0,1.0,1.0,1.0,2.0,22.453333333333333,0.0,0.75,28.0
SC-D-08,no_memory,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,0.8373333333333334,0.0,0.0,0.0
SC-D-08,one_shot,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,0.8223333333333334,0.0,0.0,0.0
SC-D-08,profile_only,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,0.5743333333333333,0.0,0.0,0.0
SC-D-09,full,preference_change,hard,high,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,15.424,1.0,1.0,21.0
SC-D-09,no_context,preference_change,hard,high,medium,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,0.20000000000000004,1.0,1.0,1.0,1.0,2.0,26.422666666666668,0.0,0.75,23.0
SC-D-09,no_memory,preference_change,hard,high,medium,,,,,,,,,,1.0,1.0,2.0,0.8223333333333334,0.0,0.0,0.0
SC-D-09,one_shot,preference_change,hard,high,medium,,,,,,,,,,1.0,1.0,2.0,0.856,0.0,0.0,0.0
SC-D-09,profile_only,preference_change,hard,high,medium,,,,,,,,,,1.0,1.0,2.0,0.5676666666666667,0.0,0.0,0.0
SC-D-10,full,preference_change,medium,high,medium,0.5449431188864663,0.25,0.75,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,13.544333333333332,1.0,1.0,22.0
SC-D-10,no_context,preference_change,medium,high,medium,0.3438208277094996,0.20000000000000004,0.6,0.20000000000000004,1.3999999999999997,0.26666666666666666,0.4000000000000001,1.0,1.0,1.0,1.0,2.0,26.251666666666665,0.0,0.75,23.0
SC-D-10,no_memory,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,0.773,0.0,0.0,0.0
SC-D-10,one_shot,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,0.7383333333333333,0.0,0.0,0.0
SC-D-10,profile_only,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,0.5486666666666667,0.0,0.0,0.0
SC-D-11,full,preference_change,medium,high,medium,1.0,1.0,2.7999999999999994,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,13.085333333333333,1.0,1.0,27.0
SC-D-11,no_context,preference_change,medium,high,medium,0.7558869364740776,0.6,1.8,0.6,0.4000000000000001,0.06666666666666667,0.0,1.0,1.0,1.0,1.0,3.0,22.517666666666667,0.0,0.75,26.0
SC-D-11,no_memory,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,3.0,0.7006666666666667,0.0,0.0,0.0
SC-D-11,one_shot,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,3.0,0.6636666666666667,0.0,0.0,0.0
SC-D-11,profile_only,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,3.0,0.524,0.0,0.0,0.0
SC-D-12,full,preference_change,hard,high,high,0.9580414003446834,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,9.755,1.0,1.0,13.0
SC-D-12,no_context,preference_change,hard,high,high,0.8146656240744838,0.4000000000000001,1.2,0.4000000000000001,0.8000000000000002,0.10000000000000002,0.0,1.0,1.0,1.0,1.0,3.0,22.325333333333333,0.0,0.75,28.0
SC-D-12,no_memory,preference_change,hard,high,high,,,,,,,,,,1.0,1.0,3.0,0.7053333333333333,0.0,0.0,0.0
SC-D-12,one_shot,preference_change,hard,high,high,,,,,,,,,,1.0,1.0,3.0,0.657,0.0,0.0,0.0
SC-D-12,profile_only,preference_change,hard,high,high,,,,,,,,,,1.0,1.0,3.0,0.561,0.0,0.0,0.0
SC-E-01,full,multiple_hard,hard,none,high,0.9580414003446834,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,9.234666666666667,1.0,1.0,13.0
SC-E-01,no_context,multiple_hard,hard,none,high,0.8404085891102678,0.4000000000000001,1.2,0.4000000000000001,0.6,0.10000000000000002,0.0,1.0,1.0,1.0,1.0,1.0,22.710333333333335,0.0,0.75,26.0
SC-E-01,no_memory,multiple_hard,hard,none,high,0.9580414003446834,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,9.265333333333333,1.0,1.0,13.0
SC-E-01,one_shot,multiple_hard,hard,none,high,0.9580414003446834,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,9.444666666666667,1.0,1.0,13.0
SC-E-01,profile_only,multiple_hard,hard,none,high,0.0,0.0,0.0,0.0,2.0,0.15,0.0,1.0,1.0,1.0,1.0,1.0,17.329666666666668,0.0,0.75,18.0
SC-E-02,full,multiple_hard,hard,none,high,,,,,,,,,1.0,1.0,1.0,1.0,10.475666666666667,1.0,1.0,3.0
