experiment_variant,scenario_id,run_index,run_id,success,response_type,no_match,returned,eligible,claims,dropped_claims,response_turns,session_count,candidate_state_version,termination_reason,total_latency_ms,run_dir
no_memory,SC-A-03,0,run-5df5c2e2cac941af,True,recommendation,False,5,30,28,0,1,1,1,recommendation,48.773,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-A-03\0
no_memory,SC-A-04,0,run-7aea248493de4118,True,recommendation,False,5,29,24,0,1,1,1,recommendation,21.439,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-A-04\0
no_memory,SC-A-05,0,run-be2daf0d89a5e60d,True,recommendation,False,5,29,23,0,1,1,1,recommendation,20.506,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-A-05\0
no_memory,SC-A-06,0,run-fee8d71e6c85f961,True,recommendation,False,5,31,27,0,1,1,1,recommendation,21.833,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-A-06\0
no_memory,SC-B-01,0,run-8c7f1beaaa50202a,True,recommendation,False,5,42,23,0,2,1,1,recommendation,20.006,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-B-01\0
no_memory,SC-B-02,0,run-1b6fbf992f680e3a,True,recommendation,False,5,43,16,0,2,1,1,recommendation,18.604,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-B-02\0
no_memory,SC-B-03,0,run-c852de43bcdaf3ee,True,recommendation,False,5,43,21,0,2,1,1,recommendation,19.034,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-B-03\0
no_memory,SC-B-04,0,run-b2cd2b73c639e5b7,True,recommendation,False,5,42,22,0,2,1,1,recommendation,16.778,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-B-04\0
no_memory,SC-B-05,0,run-bb2e939b021ef46a,True,recommendation,False,5,43,11,0,2,1,1,recommendation,18.513,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-B-05\0
no_memory,SC-C-01,0,run-2e282cad5f7613cd,True,recommendation,False,5,10,28,0,1,1,1,recommendation,11.723,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-C-01\0
no_memory,SC-C-02,0,run-06509b094994ac6a,True,recommendation,False,5,29,29,0,1,1,1,recommendation,22.681,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-C-02\0
no_memory,SC-C-03,0,run-dfd644525cc3a713,True,recommendation,False,5,10,26,0,1,1,1,recommendation,13.454,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-C-03\0
no_memory,SC-C-04,0,run-5fbf3253a4032c39,True,recommendation,False,3,3,17,0,1,1,1,recommendation,10.379,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-C-04\0
no_memory,SC-C-05,0,run-d045d873af07137f,True,recommendation,False,5,29,23,0,1,1,1,recommendation,22.466,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-C-05\0
no_memory,SC-D-01,0,run-05c50fee2f41bba6,True,clarification,,0,0,0,0,2,1,1,,0.966,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-D-01\0
